City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Butaritari,KI,81.43,light rain,3.0707,172.7902,No hotel found
5,Bairiki,KI,80.6,light intensity shower rain,1.3292,172.9752,Marry's Motel
7,Axim,GH,78.22,light rain,4.8699,-2.2405,Axim Beach Hotel
8,Hilo,US,73.26,overcast clouds,19.7297,-155.09,Dolphin Bay Hotel
10,Muncar,ID,84.76,overcast clouds,-8.4333,114.3333,No hotel found
12,Vao,NC,75.85,overcast clouds,-22.6667,167.4833,Nataiwatch
14,Springbok,ZA,75.78,thunderstorm,-29.6643,17.8865,Elkoweru Guesthouse
18,Kapaa,US,79.12,few clouds,22.0752,-159.319,Pono Kai Resort
19,Hambantota,LK,79.14,light rain,6.1241,81.1185,Oasis Aurweda Resort Hambathota
20,Rikitea,PF,78.96,overcast clouds,-23.1203,-134.9692,Chez Bianca & Benoit
26,Penha,BR,73.85,overcast clouds,-26.7694,-48.6458,Piçarras
30,The Valley,AI,76.86,few clouds,18.217,-63.0578,CeBlue
33,Ilhabela,BR,74.57,broken clouds,-23.7781,-45.3581,Vila Kebaya
34,Vaini,TO,84.36,few clouds,-21.2,-175.2,Keleti International Resort
46,Ayyampettai,IN,78.51,clear sky,10.9014,79.1798,No hotel found
47,Mataura,NZ,77.14,clear sky,-46.1927,168.8643,No hotel found
49,Itarema,BR,77.45,broken clouds,-2.9248,-39.9167,Pousada Oásis
50,Kavieng,PG,81.68,overcast clouds,-2.5744,150.7967,Kavieng Hotel
51,Puerto Ayora,EC,74.55,scattered clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
54,Atuona,PF,79.43,few clouds,-9.8,-139.0333,Pearl Resort
56,Manggar,ID,82.49,overcast clouds,-2.8833,108.2667,No hotel found
58,Avarua,CK,80.65,moderate rain,-21.2078,-159.775,Paradise Inn
59,Kavaratti,IN,80.42,broken clouds,10.5669,72.642,No hotel found
63,Airai,TL,71.2,overcast clouds,-8.9266,125.4092,No hotel found
64,East London,ZA,74.34,clear sky,-33.0153,27.9116,No hotel found
69,Omboue,GA,76.86,overcast clouds,-1.5746,9.2618,Georges Faustin Aurat
76,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,The Adventures Inn
77,Dindori,IN,71.2,clear sky,22.95,81.0833,No hotel found
80,Hithadhoo,MV,80.89,clear sky,-0.6,73.0833,Pebbles Inn
82,Arraial Do Cabo,BR,73.53,clear sky,-22.9661,-42.0278,No hotel found
90,Port Alfred,ZA,73.18,overcast clouds,-33.5906,26.891,No hotel found
92,Sonepur,IN,79.9,clear sky,20.8333,83.9167,No hotel found
93,Banda Aceh,ID,82.15,overcast clouds,5.5577,95.3222,Hotel 61
97,Veraval,IN,72.81,clear sky,20.9,70.3667,Shyam
99,Busselton,AU,77.9,broken clouds,-33.65,115.3333,No hotel found
100,Cape Town,ZA,72.37,light rain,-33.9258,18.4232,Townhouse Hotel
103,Saint-Philippe,RE,81.99,light rain,-21.3585,55.7679,Le Baril
106,San Patricio,US,71.83,overcast clouds,28.017,-97.5169,No hotel found
108,Bredasdorp,ZA,71.38,overcast clouds,-34.5322,20.0403,Victoria Hotel
111,Carutapera,BR,73.38,overcast clouds,-1.195,-46.02,No hotel found
112,Mar Del Plata,AR,71.83,mist,-38.0023,-57.5575,Nuevo Ostende
119,Bandarbeyla,SO,76.42,scattered clouds,9.4942,50.8122,No hotel found
120,Senador Jose Porfirio,BR,71.65,moderate rain,-2.5908,-51.9542,No hotel found
122,Cabinda,AO,77.72,light rain,-5.55,12.2,Hotel Mayombe
124,Ambon,ID,89.74,few clouds,-3.6954,128.1814,Hotel Hero
126,Bambous Virieux,MU,82.22,light rain,-20.3428,57.7575,No hotel found
128,Port Blair,IN,82.44,haze,11.6667,92.75,Andaman Ocean Breeze
139,Port Keats,AU,87.04,moderate rain,-14.25,129.55,No hotel found
140,Marawi,PH,76.82,overcast clouds,7.9986,124.2928,Marawi Resort Hotel
143,Carnarvon,AU,89.46,few clouds,-24.8667,113.6333,No hotel found
145,Rio Grande,BR,72.39,few clouds,-32.035,-52.0986,Hotel Vila Moura Executivo
146,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Page 63 hostel
151,Det Udom,TH,78.62,broken clouds,14.906,105.0784,No hotel found
152,Sao Miguel Do Iguacu,BR,72.48,broken clouds,-25.3481,-54.2378,No hotel found
155,Aquin,HT,71.24,few clouds,18.2833,-73.4,Hotel Aldy
