City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Maryville,US,35.7565,-83.9705,56.25,92,75,6.91,broken clouds
1,Tuktoyaktuk,CA,69.4541,-133.0374,3.2,92,100,10.36,light snow
2,Butaritari,KI,3.0707,172.7902,81.43,79,66,21.39,light rain
3,Lavrentiya,RU,65.5833,-171.0,-22.07,93,16,9.37,few clouds
4,Ancud,CL,-41.8697,-73.8203,53.17,90,98,2.68,overcast clouds
5,Bairiki,KI,1.3292,172.9752,80.6,94,75,6.91,light intensity shower rain
6,Clyde River,CA,70.4692,-68.5914,-18.17,76,0,14.97,clear sky
7,Axim,GH,4.8699,-2.2405,78.22,83,47,4.92,light rain
8,Hilo,US,19.7297,-155.09,73.26,90,100,5.01,overcast clouds
9,Ponta Do Sol,PT,32.6667,-17.1,61.72,69,70,8.77,broken clouds
10,Muncar,ID,-8.4333,114.3333,84.76,72,99,8.25,overcast clouds
11,Valky,UA,49.8387,35.6207,38.95,91,100,17.63,overcast clouds
12,Vao,NC,-22.6667,167.4833,75.85,69,100,17.6,overcast clouds
13,Saskylakh,RU,71.9167,114.0833,-22.36,100,99,7.02,overcast clouds
14,Springbok,ZA,-29.6643,17.8865,75.78,22,40,3.44,thunderstorm
15,Laguna,US,38.421,-121.4238,46.38,88,0,0.0,clear sky
16,Jamestown,US,42.097,-79.2353,37.18,60,100,16.11,overcast clouds
17,Ushuaia,AR,-54.8,-68.3,55.06,67,75,6.91,broken clouds
18,Kapaa,US,22.0752,-159.319,79.12,82,20,6.91,few clouds
19,Hambantota,LK,6.1241,81.1185,79.14,89,40,11.5,light rain
20,Rikitea,PF,-23.1203,-134.9692,78.96,70,99,5.93,overcast clouds
21,Margate,GB,51.3813,1.3862,30.69,80,7,3.0,clear sky
22,Thompson,CA,55.7435,-97.8558,12.36,92,100,2.3,light snow
23,Tasiilaq,GL,65.6145,-37.6368,10.56,68,60,8.34,broken clouds
24,Kaya,BF,13.0917,-1.0844,64.53,19,0,9.08,clear sky
25,Albany,US,42.6001,-73.9662,33.53,88,100,2.48,overcast clouds
26,Penha,BR,-26.7694,-48.6458,73.85,94,100,3.42,overcast clouds
27,Hobart,AU,-42.8794,147.3294,69.66,54,75,19.57,broken clouds
28,Arcachon,FR,44.5875,-1.0519,37.72,93,0,9.22,clear sky
29,Fairbanks,US,64.8378,-147.7164,-7.6,79,0,0.0,clear sky
30,The Valley,AI,18.217,-63.0578,76.86,79,11,17.05,few clouds
31,San Cristobal,VE,7.7669,-72.225,69.98,89,50,1.01,scattered clouds
32,Khatanga,RU,71.9667,102.5,-35.72,100,41,5.5,scattered clouds
33,Ilhabela,BR,-23.7781,-45.3581,74.57,92,80,2.21,broken clouds
34,Vaini,TO,-21.2,-175.2,84.36,74,20,4.61,few clouds
35,Ostersund,SE,63.1792,14.6357,29.61,100,40,8.05,snow
