City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Hilo,19.7297,-155.09,73.13,90,75,4.61,US,broken clouds
1,Rikitea,-23.1203,-134.9692,77.14,75,3,9.24,PF,clear sky
2,Jiexiu,37.0244,111.9125,26.37,46,100,11.65,CN,overcast clouds
3,Suleja,9.1758,7.1808,67.19,18,6,4.25,NG,clear sky
4,Albany,42.6001,-73.9662,28.56,74,9,3.85,US,clear sky
5,Puerto Ayora,-0.7393,-90.3518,74.55,96,48,4.94,EC,scattered clouds
6,Bathsheba,13.2167,-59.5167,77.61,78,20,9.22,BB,light rain
7,Bandarbeyla,9.4942,50.8122,78.33,62,66,16.58,SO,broken clouds
8,Nikolskoye,59.7035,30.7861,33.69,91,100,7.76,RU,overcast clouds
9,Yellowknife,62.456,-114.3525,7.32,85,100,12.66,CA,light snow
10,Hermanus,-34.4187,19.2345,77.81,75,88,13.02,ZA,overcast clouds
11,Dikson,73.5069,80.5464,-32.66,87,15,4.43,RU,few clouds
12,Harper,4.375,-7.7169,78.69,80,19,2.39,LR,few clouds
13,Calvinia,-31.4707,19.776,91.96,21,38,7.2,ZA,scattered clouds
14,Saint-Jean-Port-Joli,47.2171,-70.2658,31.6,97,100,6.62,CA,snow
15,Klaksvik,62.2266,-6.589,34.72,63,100,24.49,FO,overcast clouds
16,Comodoro Rivadavia,-45.8667,-67.5,57.06,72,0,3.44,AR,clear sky
17,Laguna,38.421,-121.4238,47.05,90,40,4.61,US,scattered clouds
18,Rio Gallegos,-51.6226,-69.2181,42.85,70,0,1.14,AR,clear sky
19,Anastacio,-20.4836,-55.8069,72.7,91,100,2.8,BR,overcast clouds
20,Avarua,-21.2078,-159.775,78.85,73,20,4.61,CK,few clouds
21,Bontang,0.1333,117.5,83.44,70,60,6.85,ID,broken clouds
22,Ushuaia,-54.8,-68.3,44.26,57,0,11.5,AR,clear sky
23,Kovdor,67.5662,30.4758,23.65,89,78,14.65,RU,broken clouds
24,Gazanjyk,39.2446,55.5154,32.95,50,88,14.45,TM,overcast clouds
25,Dangriga,16.9692,-88.2321,75.13,74,100,8.81,BZ,overcast clouds
26,Qaanaaq,77.484,-69.3632,-13.29,68,99,5.46,GL,overcast clouds
27,Chuy,-33.6971,-53.4616,64.31,89,0,4.41,UY,clear sky
28,Bethel,41.3712,-73.414,34.16,62,0,4.61,US,clear sky
29,Khatanga,71.9667,102.5,-38.96,100,51,6.15,RU,broken clouds
30,Oruro,-17.9833,-67.15,43.56,61,100,10.33,BO,overcast clouds
31,Petaluma,38.2324,-122.6367,48.58,89,0,4.61,US,clear sky
32,Vaini,-21.2,-175.2,80.76,94,75,1.14,TO,broken clouds
33,Anadyr,64.75,177.4833,-8.9,64,0,15.66,RU,clear sky
34,Atuona,-9.8,-139.0333,78.66,76,13,16.8,PF,light rain
35,Busselton,-33.65,115.3333,74.73,36,0,13.42,AU,clear sky
36,Gotsu,35.0,132.2167,45.39,65,65,1.39,JP,broken clouds
37,Kibala,9.1104,18.3463,69.75,43,0,3.44,TD,clear sky
38,Sohag,26.557,31.6948,53.89,48,0,5.55,EG,clear sky
39,Nome,64.5011,-165.4064,12.27,73,100,17.27,US,light snow
40,Vardo,70.3705,31.1107,33.78,93,75,16.11,NO,broken clouds
41,Duminichi,53.9345,35.1099,33.6,92,100,14.0,RU,overcast clouds
42,East London,-33.0153,27.9116,79.74,89,0,1.14,ZA,clear sky
43,Zhuhai,22.2769,113.5678,56.91,71,40,18.41,CN,scattered clouds
44,Baykit,61.67,96.37,-22.88,92,100,5.91,RU,overcast clouds
45,Carutapera,-1.195,-46.02,73.09,94,34,5.93,BR,scattered clouds
46,Mahebourg,-20.4081,57.7,84.49,61,40,14.97,MU,scattered clouds
47,Robertsport,6.7533,-11.3686,75.87,91,73,6.51,LR,broken clouds
48,Chokurdakh,70.6333,147.9167,-23.76,95,100,10.2,RU,overcast clouds
49,Bilibino,68.0546,166.4372,-25.31,89,97,5.99,RU,overcast clouds
50,Puerto Escondido,15.85,-97.0667,73.83,85,25,4.94,MX,scattered clouds
51,The Valley,18.217,-63.0578,77.09,77,10,19.86,AI,clear sky
52,Beidao,34.5686,105.8933,31.39,31,100,5.41,CN,overcast clouds
53,Syriam,16.7722,96.2378,87.91,48,20,6.91,MM,few clouds
54,Tual,-5.6667,132.75,83.71,72,97,8.95,ID,overcast clouds
55,Clyde River,70.4692,-68.5914,-12.77,77,100,4.61,CA,overcast clouds
56,Geraldton,-28.7667,114.6,79.21,50,0,26.46,AU,clear sky
57,Kapaa,22.0752,-159.319,75.18,78,0,5.75,US,clear sky
58,Nampula,-15.1165,39.2666,80.55,74,75,3.44,MZ,moderate rain
